compound;isotherm_model;data_type;orig_freundlich_k;orig_freundlich_exponent;orig_freundlich_exp_type;orig_langmuir_qmax;orig_langmuir_kl;orig_param_units;orig_ce_units;orig_q_units;amanzi_freundlich_k;amanzi_freundlich_1n;amanzi_langmuir_qmax;amanzi_langmuir_kl;amanzi_units_note;gac_brand;gac_product;gac_type;gac_reactivation;water_matrix;influent_conc_min;influent_conc_max;influent_conc_unit;is_multicomponent;competition_notes;matrix_notes;fitting_method;source_title;source_authors;source_year;source_doi;source_url;notes
PFOA;freundlich;measured_batch;5.4;0.28;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;37.3589;0.28;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vb-AC virgin bituminous;bituminous;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vb-AC; amanzi_k = 5.4 × 1000^0.28"
PFOS;freundlich;measured_batch;5.95;0.27;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;38.4164;0.27;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vb-AC virgin bituminous;bituminous;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vb-AC; amanzi_k = 5.95 × 1000^0.27"
PFBA;freundlich;measured_batch;0.62;0.45;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;13.8801;0.45;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rb-AC reactivated bituminous;bituminous;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rb-AC; amanzi_k = 0.62 × 1000^0.45"
PFPeA;freundlich;measured_batch;1.9;0.41;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;32.2666;0.41;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rb-AC reactivated bituminous;bituminous;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rb-AC; amanzi_k = 1.9 × 1000^0.41"
PFBS;freundlich;measured_batch;2.06;0.41;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;34.9838;0.41;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rb-AC reactivated bituminous;bituminous;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rb-AC; amanzi_k = 2.06 × 1000^0.41"
PFHxA;freundlich;measured_batch;3.02;0.35;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;33.885;0.35;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rb-AC reactivated bituminous;bituminous;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rb-AC; amanzi_k = 3.02 × 1000^0.35"
PFHpA;freundlich;measured_batch;3.13;0.34;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;32.7751;0.34;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rb-AC reactivated bituminous;bituminous;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rb-AC; amanzi_k = 3.13 × 1000^0.34"
PFHxS;freundlich;measured_batch;4.02;0.44;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;83.9897;0.44;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rb-AC reactivated bituminous;bituminous;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rb-AC; amanzi_k = 4.02 × 1000^0.44"
PFOA;freundlich;measured_batch;4.48;0.31;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;38.131;0.31;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rb-AC reactivated bituminous;bituminous;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rb-AC; amanzi_k = 4.48 × 1000^0.31"
PFOS;freundlich;measured_batch;4.48;0.21;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;19.1108;0.21;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rb-AC reactivated bituminous;bituminous;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rb-AC; amanzi_k = 4.48 × 1000^0.21"
PFBA;freundlich;measured_batch;0.05;0.77;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;10.2087;0.77;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rc-AC reactivated coconut;coconut;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rc-AC; amanzi_k = 0.05 × 1000^0.77"
PFPeA;freundlich;measured_batch;1.16;0.48;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;31.9491;0.48;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rc-AC reactivated coconut;coconut;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rc-AC; amanzi_k = 1.16 × 1000^0.48"
PFBS;freundlich;measured_batch;1.7;0.36;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;20.4385;0.36;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rc-AC reactivated coconut;coconut;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rc-AC; amanzi_k = 1.7 × 1000^0.36"
PFHxA;freundlich;measured_batch;2.86;0.31;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;24.3425;0.31;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rc-AC reactivated coconut;coconut;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rc-AC; amanzi_k = 2.86 × 1000^0.31"
PFHpA;freundlich;measured_batch;2.14;0.48;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;58.9405;0.48;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;rc-AC reactivated coconut;coconut;steam-reactivated;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 rc-AC; amanzi_k = 2.14 × 1000^0.48"
